entry,reco_asso_showers,reco_asso_tracks,reco_shower_energy_max,reco_shower_start_to_nearest_dead_wire_plane0,reco_shower_start_to_nearest_dead_wire_plane1,reco_shower_start_to_nearest_dead_wire_plane2,reco_shower_start_dist_to_SCB,reco_shower_conversion_distance,reco_shower_sliceId,reco_shower_nuscore,reco_shower_isclearcosmic,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_length,reco_shower_opening_angle,reco_shower_dirx,reco_shower_diry,reco_shower_dirz,reco_shower_implied_dirx,reco_shower_implied_diry,reco_shower_implied_dirz,reco_shower_dEdx_amalgamated,sss_num_unassociated_hits,sss_candidate_impact_parameter,sss_candidate_min_dist,sss_candidate_angle_to_shower,sss2d_ioc_ranked_angle_to_shower,sss3d_ioc_ranked_conv,sss3d_ioc_ranked_invar,sss3d_invar_ranked_implied_opang,sim_shower_pdg,sim_shower_overlay_fraction,sim_shower_matched
8831,1.0,0,553.9588403675182,999999.0,999999.0,999999.0,6.8508148193359375,0.18344631645546244,1.0,0.9940718412399292,0.0,0.025417044758796692,0.04359655845233946,0.08763856189380821,72.46014404296875,0.10152450203895569,0.44436416029930115,0.03904344514012337,0.8949950933456421,-0.1234160963759718,0.8455926104519828,0.5193665413793213,3.3935883866092458,57.0,15.667355573632022,118.38371156235205,2.8807314789261405,2.8807314789261405,8.148390258653148,111.42969765206927,-0.2797890058773407,-11.0,0.025078369905956112,1.0
8837,1.0,0,1010.9215130088403,999999.0,999999.0,999999.0,6.776827358701314,0.08230690147527572,1.0,0.7870120406150818,0.0,0.005055669695138931,0.1596806353526422,0.3150545539726873,136.04327392578125,0.23070046305656433,0.4384739100933075,0.1429029405117035,0.8873104453086853,0.7536060333615506,-0.3594691509687692,-0.5503270627389332,4.192662862615947,99.0,40.46332349256302,41.03871346062746,1.572563885424711,1.572563885424711,32.4165361069967,198.4755000491374,-0.9203410158578709,-11.0,0.021753460777851022,1.0
8840,1.0,0,1596.6816382101088,999999.0,999999.0,999999.0,4.038290977478027,0.19817243938372398,0.0,0.9856239557266235,0.0,0.0001713185920380056,-0.005805637313169296,-0.011819894667813764,308.108154296875,0.07495249807834625,0.4408470392227173,-0.005211008246988058,0.8975672125816345,0.2508363089528775,-0.9526519846194447,0.17185849502288145,3.897777241289192,195.0,10.85007573338631,84.8074346050868,0.22635625843006452,0.4354376950140971,36.407065218993296,914.4103518777241,0.9688702355698953,11.0,0.01807501129688206,1.0
8841,1.0,0,794.3808418403547,999999.0,999999.0,999999.0,11.903617514473016,0.8913707277657384,0.0,0.9909658432006836,0.0,0.01854746975004673,-0.009524175943296088,-0.02031900892793583,124.53109741210938,0.29197606444358826,0.42436763644218445,-0.008623916655778885,0.9054490327835083,0.33404732788564206,0.9423989697017713,0.017221052160139177,5.552344105821758,144.0,12.556429103841555,39.34526570481491,2.7516486691624356,2.7516486691624356,8.976073104123943,132.18904661073373,0.2852858920001746,11.0,0.0912863070539419,1.0
8849,1.0,0,834.9971771168534,999999.0,999999.0,999999.0,59.64742660522461,0.3388592632747193,1.0,0.9140628576278687,0.0,0.02265799604356289,0.07571320375463814,0.1420304356147723,109.52632141113281,0.16527782380580902,0.4675910770893097,0.06686236709356308,0.8814123868942261,0.21532158777213764,0.6941804981639095,0.686840629118715,5.184752903635143,495.0,13.571471333248995,33.39575452232367,1.3838933167767786,2.137403180735544,33.76634524040953,79.61177688128804,-0.9690193880903806,-11.0,0.012933968686181076,1.0
8850,1.0,0,350.7875240583783,999999.0,999999.0,999999.0,21.24905014038086,0.4378098561002385,0.0,0.947648286819458,0.0,0.0010224266443401575,-0.06368674160928173,-0.12830431853935179,117.95816802978516,0.16465145349502563,0.44240903854370117,-0.057076532393693924,0.8949954509735107,0.36151241159627207,0.23393901589395907,0.9025415852493521,2.120226440886628,204.0,29.953872869995436,34.13723586545268,0.2409790454345742,0.2409790454345742,4.2520172453172975,64.18295663694119,-0.9841024685482067,-11.0,0.014218009478672985,1.0
8852,1.0,0,1339.1012080212915,999999.0,999999.0,999999.0,70.18678283691406,0.19173275721261315,1.0,0.9962615370750427,0.0,0.08518020063638687,0.21628727191843414,0.29490729631542884,75.01871490478516,0.22451624274253845,0.5770108699798584,0.17527568340301514,0.7977074980735779,0.6445080382671666,0.7391926636333902,-0.19545739852863633,7.964595937615709,581.0,19.70223049879464,20.00651959954555,0.9266752428569603,2.0855310344721056,16.593718362250943,1615.5725026460302,-0.07733945004036236,-11.0,0.12239583333333333,1.0
8854,1.0,0,1037.440239346803,999999.0,999999.0,999999.0,40.358116149902344,0.1865585389144326,0.0,0.996794581413269,0.0,0.00171764031983912,0.09505473784353141,0.21726015819585062,152.5140838623047,0.1355751007795334,0.3949982523918152,0.08719362318515778,0.9145346879959106,0.10082772049058789,0.8308114198444689,0.5473446404567139,7.237699094020135,1749.0,6.96344067e-315,52.456282189038966,0.016062431150077768,999.0,12.345196823266303,619.6664252710797,0.3954112660848007,11.0,0.014705882352941176,1.0
8862,1.0,0,340.50719667801644,999999.0,999999.0,999999.0,13.958145141601562,0.39282752739444843,2.0,0.7541353106498718,0.0,0.022101106122136116,0.26947459703551174,0.5690516978759488,67.23638916015625,0.29829564690589905,0.3842611014842987,0.24578548967838287,0.8899062275886536,0.45784812452588136,0.6957256094326852,0.5534807776677088,3.3889871313098276,208.0,2.06718766e-315,46.69370172383742,2.06718766e-315,2.06718766e-315,30.12281493570341,50.84164425581222,-0.9880674056631273,11.0,0.011138613861386138,1.0
8865,1.0,0,1169.4374636524722,999999.0,999999.0,999999.0,10.221462814813203,0.33823654488393406,0.0,0.9157171249389648,0.0,0.008093278855085373,0.02174972795830275,0.040815639912284,165.68890380859375,0.12177000939846039,0.47004246711730957,0.019195744767785072,0.8824348449707031,0.4157593321214167,-0.6471878666030646,0.6389773415980627,4.213714001348846,333.0,48.84417926176117,113.01070926907872,0.3751767635660776,0.3751767635660776,7.616812259298786,187.11905829563432,0.8026669120933272,11.0,0.007827788649706457,1.0
