sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
44.987,21.033,0.108,0.316,-0.774,-1.851,0.432,0.607,0.054
0.161,93.756,0.000,0.336,1.593,1.559,0.266,0.085,0.003
-99999.000,37.660,0.043,0.215,-1.339,-2.068,0.173,0.073,0.002
159.330,54.514,0.157,0.451,0.582,1.803,0.338,0.869,0.031
5.181,70.220,0.012,0.324,2.120,1.233,0.195,-0.386,0.007
61.285,84.736,0.000,0.172,-1.566,-1.294,0.073,-0.076,0.012
-99999.000,36.468,0.266,0.474,-0.402,-2.718,0.095,0.606,0.007
74.700,97.178,0.108,0.313,2.687,1.339,0.073,-0.831,0.013
18.652,237.227,0.001,0.100,-0.827,-1.539,0.285,0.595,0.006
6.234,43.950,0.200,0.169,-0.946,-2.009,0.217,0.433,0.003
10.305,40.861,0.228,0.390,2.174,1.312,0.196,-0.447,0.003
0.302,2876.762,0.000,0.024,-1.352,-2.829,0.077,-0.040,0.004
10.605,57.944,0.010,0.113,0.949,2.074,0.123,0.573,0.007
-99999.000,30.636,0.039,0.161,1.744,2.029,0.280,-0.094,0.002
-99999.000,32.531,0.011,0.154,-1.261,-1.683,0.114,0.192,0.002
-99999.000,38.833,0.032,0.043,0.802,1.514,0.353,0.768,0.008
25.618,167.507,0.038,0.375,0.746,0.938,0.220,0.751,0.058
4.191,221.443,0.025,0.013,1.049,1.739,0.094,0.569,0.006
16.842,203.654,0.029,0.011,-1.703,-1.196,0.111,-0.191,0.006
17.126,89.232,0.022,0.275,-2.323,-0.708,0.112,-0.523,0.007
-99999.000,137.606,0.043,0.168,1.698,1.664,0.215,-0.028,0.004
21.298,535.051,0.006,0.004,-1.363,-1.617,0.196,0.097,0.005
18.185,53.836,0.125,0.386,1.601,1.325,0.086,0.093,0.004
5.077,35.491,0.072,0.146,-2.714,-2.487,0.305,-0.870,0.020
28.251,109.108,0.000,0.023,-0.527,-1.935,0.332,0.774,0.012
16.485,50.955,0.021,0.330,1.604,1.931,0.142,0.041,0.002
0.129,55.637,0.077,0.091,-0.818,-2.754,0.331,0.224,0.006
-99999.000,343.381,0.145,0.001,-1.329,-1.334,0.115,0.149,0.006
0.092,119.222,0.000,0.089,2.571,0.693,0.109,-0.608,0.016
16.028,39.888,0.700,0.479,0.763,1.814,0.234,0.765,0.014
10.072,104.064,0.048,0.039,2.302,1.172,0.024,-0.533,0.015
7.522,50.008,0.142,0.168,1.829,1.579,0.303,-0.151,0.003
12.800,109.687,0.000,0.308,1.387,1.394,0.242,0.295,0.004
6.173,2172.829,0.000,0.001,-2.547,-1.576,0.138,-0.881,0.060
41.319,179.509,0.011,0.378,-1.245,-2.034,0.039,0.162,0.003
269.753,27.080,0.098,0.280,-2.071,-2.324,0.259,-0.489,0.003
6.845,65.300,0.023,0.096,-0.931,-1.962,0.145,0.456,0.006
0.061,35.634,0.000,0.001,-1.032,-1.592,0.181,0.416,0.003
-99999.000,22.580,0.106,0.274,0.898,2.760,0.223,0.250,0.004
13.635,29.350,0.022,0.108,-0.897,-1.062,0.400,0.522,0.004
15.403,22.015,0.018,0.320,1.159,1.759,0.128,0.473,0.002
10.378,21.957,0.081,0.177,-0.967,-2.100,0.141,0.394,0.003
60.233,35.015,0.012,0.149,-1.155,-1.351,0.645,0.313,0.012
40.818,63.255,0.102,0.145,1.456,1.689,0.026,0.209,0.006
21.699,124.428,0.061,0.321,1.295,1.840,0.066,0.340,0.004
-99999.000,238.784,0.000,0.288,0.755,1.593,0.158,0.794,0.012
9.701,1458.893,0.687,0.018,0.287,2.790,0.199,0.728,0.008
18.988,607.882,0.006,0.023,-1.684,-1.134,0.365,-0.164,0.005
-99999.000,293.298,0.000,0.021,1.418,1.287,0.061,0.268,0.006
79.009,72.766,0.029,0.053,-1.963,-2.125,0.197,-0.453,0.010
158.045,169.252,0.014,0.244,-1.180,-0.380,0.060,0.183,0.007
67.125,41.130,0.179,0.408,-0.358,-2.792,0.261,0.589,0.003
-99999.000,65.512,0.124,0.073,-1.335,-2.477,0.238,0.019,0.008
8.814,108.245,0.017,0.147,-0.377,-0.972,0.073,0.875,0.063
68.020,156.941,0.013,0.264,-1.714,-1.179,0.112,-0.198,0.008
61.808,61.194,0.056,0.113,1.310,1.452,0.342,0.365,0.013
40.223,43.007,0.093,0.041,1.548,1.732,0.232,0.114,0.003
84.962,89.623,0.009,0.340,-1.121,-1.066,0.215,0.336,0.009
0.227,222.996,0.010,0.339,-1.333,-1.071,0.156,0.152,0.004
26.709,169.283,0.041,0.237,-1.405,-1.604,0.272,0.056,0.005
-99999.000,187.994,0.010,0.251,-1.475,-2.427,0.041,-0.066,0.003
0.059,51.283,0.000,0.452,1.493,2.185,0.082,0.104,0.002
34.645,99.298,0.007,0.135,-1.130,-1.428,0.401,0.335,0.007
60.999,126.373,0.025,0.360,-0.811,-2.043,0.110,0.541,0.008
-99999.000,41.852,0.000,0.420,-0.405,-1.576,0.562,0.869,0.022
117.866,35.920,0.041,0.443,1.566,1.779,0.347,0.092,0.003
19.707,40.118,0.015,0.387,-1.623,-1.285,0.100,-0.129,0.002
55.217,86.313,0.017,0.270,-1.169,-1.439,0.267,0.297,0.005
24.475,64.373,0.034,0.381,1.341,2.895,0.147,0.006,0.004
14.459,299.267,0.018,0.038,-0.809,-2.740,0.060,0.239,0.004
32.714,148.869,0.007,0.238,-1.690,-2.228,0.051,-0.226,0.003
0.172,161.081,0.054,0.014,1.844,2.852,0.150,-0.124,0.007
35.667,1363.618,0.854,0.016,-0.967,-2.196,0.144,0.368,0.009
96.415,129.465,0.054,0.057,-1.269,-1.575,0.306,0.193,0.009
308.445,185.875,0.015,0.207,-1.523,-1.360,0.049,-0.041,0.003
-99999.000,52.867,0.088,0.172,-0.812,-2.386,0.115,0.432,0.009
-99999.000,34.813,0.304,0.272,0.608,2.690,0.245,0.506,0.007
85.828,35.990,0.073,0.423,-2.770,-2.583,0.168,-0.872,0.021
40.800,65.272,0.007,0.306,1.550,2.220,0.311,0.053,0.006
67.225,38.482,0.004,0.120,-1.988,-1.615,0.536,-0.501,0.012
142.331,119.978,0.013,0.450,-0.932,-2.074,0.042,0.431,0.004
75.768,22.677,0.074,0.171,0.976,1.198,0.297,0.637,0.023
0.097,495.975,0.000,0.295,-1.605,-2.044,0.012,-0.161,0.003
