sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
53.150,71.717,0.042,0.400,-1.750,-1.112,0.074,-0.218,0.005
6.476,708.843,0.978,0.317,1.435,1.841,0.203,0.210,0.008
35.436,89.673,0.029,0.218,-2.279,-1.798,0.154,-0.728,0.025
11.735,66.886,0.013,0.290,-1.082,-0.977,0.097,0.360,0.004
5.412,658.667,0.978,0.024,0.286,0.601,0.120,0.937,0.640
-99999.000,138.455,0.199,0.025,1.149,1.193,0.134,0.499,0.012
101.142,233.115,0.112,0.056,1.023,0.785,0.079,0.513,0.020
44.562,297.594,0.147,0.003,0.995,0.803,0.087,0.538,0.009
39.779,984.526,0.962,0.029,-0.850,-1.037,0.271,0.557,0.077
28.504,143.431,0.157,0.252,0.877,0.918,0.112,0.657,0.046
306.699,170.013,0.058,0.431,-1.119,-1.632,0.068,0.332,0.004
36.350,31.225,0.071,0.019,-1.307,-0.868,0.288,0.170,0.003
46.203,643.771,0.992,0.028,-0.039,-3.096,0.293,0.694,0.044
7.834,21.344,0.014,0.037,-0.600,-2.066,0.265,0.702,0.007
80.408,71.830,0.035,0.162,-1.609,-1.551,0.110,-0.142,0.006
70.162,547.012,0.031,0.003,-1.263,-1.523,0.296,0.203,0.004
-99999.000,126.070,0.021,0.462,-1.385,-1.228,0.019,0.101,0.004
48.673,74.839,0.079,0.242,1.516,0.379,0.149,0.133,0.008
7.415,121.783,0.650,0.221,0.437,1.854,0.073,0.926,0.011
48.350,208.591,0.139,0.019,-1.240,-2.511,0.172,0.073,0.008
-99999.000,111.534,0.874,0.237,0.588,2.071,0.217,0.823,0.020
19.196,429.793,0.088,0.001,1.240,0.977,0.156,0.399,0.004
10.410,159.381,0.068,0.401,1.589,2.087,0.072,0.037,0.002
0.170,214.134,0.000,0.399,-2.625,-2.236,0.085,-0.881,0.059
0.136,230.518,0.000,0.001,1.603,0.508,0.148,0.105,0.006
6.278,981.494,0.990,0.001,-0.205,-0.423,0.394,0.897,0.200
11.660,42.735,0.020,0.189,1.483,1.838,0.091,0.165,0.002
8.762,95.742,0.114,0.120,-0.347,-0.360,0.470,0.718,0.120
62.863,22.368,0.083,0.420,-1.160,-1.511,0.104,0.302,0.002
6.730,152.297,0.697,0.270,-0.483,-0.622,0.079,0.738,0.050
6.955,64.867,0.054,0.042,1.004,1.844,0.199,0.587,0.014
29.743,51.076,0.084,0.445,-0.953,-1.473,0.217,0.492,0.004
24.225,78.126,0.442,0.396,-0.095,-2.553,0.124,0.956,0.024
25.254,1071.380,0.994,0.021,0.057,1.359,0.395,0.997,0.037
59.932,205.368,0.598,0.038,0.215,0.491,0.205,0.950,0.874
0.841,475.066,0.568,0.027,0.426,1.910,0.236,0.925,0.025
11.256,279.488,0.385,0.128,-0.630,-2.278,0.297,0.624,0.020
10.126,156.176,0.008,0.330,0.439,2.227,0.307,0.871,0.009
128.343,169.346,0.391,0.018,-0.625,-2.688,0.180,0.414,0.021
27.637,67.031,0.100,0.053,2.451,1.713,0.032,-0.701,0.015
80.312,1008.250,0.071,0.077,0.133,0.546,0.246,0.991,0.107
5.176,255.816,0.993,0.003,0.204,1.113,0.166,0.995,0.144
0.515,526.639,0.000,0.008,0.370,1.381,0.333,0.966,0.043
33.324,1304.477,0.576,0.023,0.427,0.483,0.060,0.792,0.183
11.664,38.764,0.817,0.486,0.087,2.766,0.171,0.957,0.049
9.838,122.051,0.069,0.025,-1.077,-2.340,0.032,0.235,0.005
21.671,252.442,0.931,0.014,0.223,0.360,0.104,0.893,0.844
39.844,127.537,0.520,0.259,-2.936,-0.584,0.271,-0.924,0.126
23.708,49.115,0.129,0.468,-2.287,-0.919,0.178,-0.594,0.005
-99999.000,204.968,0.161,0.499,-1.305,-2.891,0.014,-0.036,0.007
36.176,158.424,0.058,0.022,-1.534,-1.210,0.157,-0.037,0.007
0.153,424.348,0.000,0.001,0.172,1.304,0.107,0.997,0.067
-99999.000,40.210,0.085,0.261,1.564,1.536,0.126,0.115,0.002
31.240,351.901,0.961,0.033,0.159,0.203,0.381,0.838,0.831
12.744,172.749,0.030,0.142,-0.392,-1.784,0.116,0.866,0.024
15.812,7164.614,0.000,0.046,-1.378,-1.591,0.413,0.085,0.010
3.978,77.891,0.156,0.223,0.384,1.666,0.256,0.955,0.029
13.984,229.434,0.083,0.075,-0.587,-2.945,0.077,0.185,0.006
28.280,1324.605,0.883,0.133,0.313,0.289,0.384,0.734,0.162
-99999.000,189.426,0.930,0.330,0.896,2.062,0.273,0.617,0.036
116.783,77.263,0.078,0.030,-1.205,-2.349,0.300,0.134,0.012
17.080,25.389,0.021,0.057,-1.282,-1.351,0.159,0.193,0.002
-99999.000,156.984,0.027,0.007,-1.367,-1.629,0.220,0.092,0.006
67.181,1526.606,0.416,0.027,0.057,0.107,0.175,0.917,0.984
10.085,131.954,0.691,0.071,0.982,0.841,0.128,0.560,0.014
-99999.000,35.189,0.084,0.104,-1.338,-1.816,0.181,0.103,0.003
0.143,412.921,0.000,0.084,1.063,2.787,0.337,0.151,0.003
16.532,193.967,0.981,0.223,0.131,2.779,0.071,0.916,0.034
37.999,57.536,0.078,0.152,-1.139,-1.665,0.195,0.310,0.006
0.075,370.519,0.837,0.015,0.120,0.873,0.217,1.000,0.365
25.786,398.926,0.138,0.009,1.394,1.187,0.216,0.288,0.009
83.071,189.817,0.193,0.241,0.763,0.881,0.338,0.725,0.078
26.806,336.049,0.109,0.174,-3.022,-0.024,0.144,-0.123,0.009
59.766,140.981,0.016,0.069,-1.533,-1.277,0.114,-0.043,0.006
-99999.000,493.736,0.181,0.005,-0.407,-0.674,0.332,0.813,0.255
16.184,96.133,0.020,0.159,-0.864,-1.668,0.164,0.556,0.007
0.068,5.526,0.000,0.050,1.447,0.675,0.727,0.204,0.013
-99999.000,326.617,0.037,0.017,-1.324,-1.277,0.212,0.156,0.006
28.964,29.718,0.042,0.452,1.480,2.099,0.183,0.130,0.002
24.325,204.603,0.021,0.058,-1.476,-0.709,0.142,0.052,0.005
32.258,225.242,0.005,0.051,-1.658,-1.277,0.088,-0.161,0.004
15.097,279.858,0.113,0.058,-0.657,-1.522,0.369,0.722,0.019
46.715,511.884,0.137,0.000,0.310,0.535,0.058,0.904,0.491
14.300,85.093,0.052,0.245,-0.758,-2.638,0.111,0.343,0.005
76.381,130.249,0.199,0.109,-0.754,-1.781,0.190,0.631,0.019
-99999.000,112.427,0.037,0.186,1.049,1.154,0.099,0.576,0.009
22.041,791.859,0.896,0.001,-0.237,-0.745,0.102,0.929,0.106
19.573,67.810,0.012,0.153,-0.416,-0.081,0.528,0.247,0.018
90.833,132.683,0.012,0.113,-1.170,-1.013,0.125,0.290,0.012
54.277,105.937,0.455,0.379,-3.052,-0.196,0.078,-0.876,0.049
9.286,56.698,0.113,0.384,-0.933,-0.920,0.127,0.472,0.005
1.981,1736.972,0.000,0.163,-0.251,-0.337,0.280,0.807,0.125
-99999.000,121.528,0.542,0.162,0.150,0.808,0.124,0.997,0.289
-99999.000,37.379,0.049,0.470,-1.223,-1.481,0.401,0.244,0.005
51.188,93.344,0.074,0.254,1.386,0.905,0.438,0.275,0.028
51.126,412.094,0.308,0.003,-0.390,-0.631,0.138,0.814,0.275
63.128,215.444,0.199,0.092,0.732,0.737,0.074,0.698,0.074
-99999.000,61.276,0.036,0.157,-1.811,-0.980,0.177,-0.241,0.006
9.016,988.619,0.728,0.001,0.167,0.789,0.047,0.995,0.030
-99999.000,74.782,0.082,0.192,1.849,2.179,0.617,-0.185,0.015
5.286,40.722,0.010,0.047,-1.419,-1.780,0.610,0.028,0.009
11.480,221.948,0.034,0.462,1.206,1.671,0.115,0.443,0.002
22.966,1279.509,0.904,0.000,0.646,0.796,0.058,0.777,0.015
40.600,33.976,0.613,0.242,-0.055,-0.271,0.290,0.980,0.054
0.162,110.213,0.000,0.404,-2.599,-2.249,0.048,-0.865,0.021
21.072,212.559,0.011,0.127,-1.308,-2.089,0.133,0.098,0.004
21.243,333.275,0.723,0.053,0.087,2.770,0.272,0.955,0.044
7.279,49.966,0.239,0.134,2.817,1.686,0.204,-0.908,0.058
142.184,176.137,0.030,0.454,-1.248,-0.801,0.589,0.211,0.022
67.436,39.707,0.111,0.218,-0.639,-1.103,0.112,0.724,0.006
4.897,265.899,0.658,0.040,-0.728,-1.350,0.138,0.673,0.016
55.575,18.276,0.094,0.184,-2.679,-1.699,0.291,-0.937,0.030
0.209,239.441,0.000,0.129,3.055,0.192,0.204,-0.861,0.024
20.903,239.318,0.000,0.004,-1.924,-0.795,0.389,-0.272,0.004
109.837,224.462,0.101,0.251,-1.417,-1.418,0.093,0.058,0.008
22.179,145.780,0.022,0.370,0.566,1.670,0.052,0.888,0.007
24.135,86.577,0.132,0.014,-2.701,-1.923,0.096,-0.943,0.173
29.262,54.846,0.003,0.169,-0.925,-2.487,0.548,0.297,0.012
20.126,341.263,0.994,0.003,-0.009,-0.014,0.165,0.883,0.961
30.429,1114.797,0.999,0.018,0.027,0.055,0.182,0.927,0.990
10.111,22.734,0.008,0.237,-0.598,-0.963,0.202,0.736,0.005
43.542,128.932,0.005,0.011,-1.109,-1.441,0.209,0.354,0.005
37.575,51.125,0.355,0.017,0.193,0.118,0.213,0.588,0.036
83.186,321.051,0.493,0.010,-0.082,-0.207,0.076,0.941,0.905
10.314,676.813,0.938,0.005,-0.446,-1.064,0.236,0.844,0.064
0.142,208.496,0.000,0.388,-1.820,-1.710,0.224,-0.355,0.006
37.556,116.298,0.245,0.367,-0.788,-1.694,0.613,0.615,0.031
25.489,57.430,0.163,0.103,-0.819,-3.102,0.163,-0.046,0.006
0.063,96.423,0.000,0.067,1.396,2.765,0.218,0.030,0.004
12.985,157.601,0.246,0.148,-0.633,-0.804,0.055,0.679,0.019
27.140,226.504,0.007,0.062,-0.439,-1.778,0.229,0.841,0.019
0.105,317.851,0.000,0.241,-0.258,-1.426,0.042,0.934,0.026
13.171,272.919,0.111,0.001,0.715,1.356,0.145,0.821,0.016
165.438,32.555,0.032,0.474,-2.029,-1.451,0.160,-0.522,0.003
12.677,253.766,0.175,0.051,-1.471,-0.956,0.366,0.040,0.008
57.612,41.519,0.088,0.238,0.750,1.266,0.096,0.797,0.006
48.567,31.143,0.037,0.206,0.428,2.991,0.520,0.251,0.015
15.589,440.926,0.224,0.000,0.761,1.124,0.038,0.776,0.010
10.864,47.140,0.023,0.178,-2.025,-1.927,0.296,-0.528,0.011
93.823,104.398,0.107,0.291,1.546,1.733,0.248,0.117,0.012
20.757,256.361,0.010,0.056,-1.355,-0.886,0.322,0.134,0.006
27.111,152.559,0.328,0.260,0.948,0.516,0.148,0.445,0.018
6.663,155.248,0.049,0.071,-1.098,-1.014,0.201,0.350,0.005
38.091,335.681,0.202,0.030,0.015,0.013,0.198,0.697,0.103
148.724,254.688,0.034,0.034,-1.015,-1.365,0.410,0.440,0.014
-99999.000,60.034,0.119,0.091,0.820,0.642,0.284,0.595,0.039
44.782,545.083,0.076,0.016,0.889,0.952,0.155,0.657,0.035
5.286,635.964,0.000,0.012,-0.117,-0.909,0.195,0.975,0.016
