sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
0.086,35.659,0.000,0.155,-1.021,-0.531,0.188,0.307,0.003
0.135,27.976,0.000,0.000,-2.897,-0.156,0.269,-0.471,0.007
0.608,349.562,0.000,0.022,-0.219,-2.838,0.328,0.731,0.017
11.416,101.486,0.892,0.145,0.042,0.074,0.071,0.904,0.921
30.677,30.058,0.792,0.050,-0.321,-1.804,0.406,0.898,0.076
85.482,70.153,0.056,0.369,1.138,1.903,0.308,0.465,0.006
8.963,301.677,0.388,0.170,0.567,0.792,0.153,0.826,0.086
13.125,34.994,0.209,0.140,-0.222,-2.775,0.393,0.779,0.016
13.111,856.524,0.015,0.412,0.554,1.381,0.009,0.902,0.019
98.600,31.415,0.051,0.380,-1.179,-1.020,0.136,0.283,0.002
117.488,22.970,0.111,0.411,0.865,2.008,0.105,0.656,0.006
27.645,40.698,0.103,0.137,-1.855,-2.334,0.188,-0.333,0.006
55.758,34.950,0.044,0.344,0.832,0.884,0.192,0.679,0.011
14.849,87.663,0.007,0.189,1.338,1.010,0.089,0.325,0.005
108.919,27.286,0.057,0.485,1.114,1.636,0.332,0.527,0.004
-99999.000,148.995,0.040,0.203,-1.698,-1.791,0.101,-0.243,0.004
-99999.000,88.605,0.008,0.157,-1.717,-1.577,0.130,-0.250,0.006
-99999.000,94.068,0.024,0.096,-1.214,-1.205,0.243,0.259,0.007
0.180,32.237,0.000,0.049,-0.012,-0.181,0.166,0.993,0.112
52.298,264.666,0.672,0.099,0.281,0.241,0.051,0.710,0.242
142.273,26.260,0.238,0.112,-0.038,-3.116,0.233,0.484,0.008
91.097,42.517,0.280,0.337,0.090,0.051,0.162,0.557,0.019
0.461,30.636,0.000,0.485,0.014,0.104,0.183,0.994,0.041
0.102,242.763,0.000,0.040,-1.481,-2.070,0.181,-0.053,0.005
0.186,68.739,0.000,0.010,-0.378,-1.427,0.258,0.885,0.064
-99999.000,37.997,0.113,0.128,-0.601,-2.818,0.429,0.318,0.026
147.262,49.356,0.062,0.407,0.424,0.517,0.210,0.814,0.155
0.148,20.176,0.007,0.042,-2.433,-2.859,0.687,-0.407,0.015
15.420,86.699,0.255,0.148,-2.945,-0.306,0.276,-0.803,0.061
4.871,72.204,0.000,0.389,-1.545,-1.790,0.030,-0.096,0.004
43.879,240.726,0.092,0.244,-1.835,-2.030,0.167,-0.360,0.015
65.537,92.305,0.105,0.446,0.641,0.710,0.124,0.750,0.136
154.901,593.174,0.012,0.393,1.553,1.515,0.014,0.128,0.005
146.317,52.902,0.020,0.232,-1.717,-0.682,0.172,-0.097,0.004
-99999.000,31.657,0.051,0.118,-1.294,-1.872,0.139,0.139,0.003
-99999.000,165.135,0.306,0.079,0.605,1.148,0.295,0.868,0.153
73.154,27.542,0.170,0.052,-0.790,-0.405,0.248,0.389,0.003
66.884,34.015,0.026,0.294,1.523,1.416,0.108,0.164,0.002
21.279,139.473,0.047,0.037,1.606,0.730,0.306,0.107,0.008
0.146,67.600,0.000,0.000,1.037,1.764,0.330,0.574,0.017
218.152,103.092,0.016,0.121,0.770,0.937,0.162,0.735,0.072
51.771,14.606,0.047,0.142,0.454,0.998,0.154,0.924,0.055
-99999.000,86.625,0.094,0.451,-0.932,-1.237,0.069,0.509,0.008
-99999.000,34.023,0.072,0.444,1.091,1.805,0.139,0.523,0.002
59.523,200.197,0.144,0.486,-1.869,-0.992,0.043,-0.291,0.015
17.873,34.949,0.410,0.424,0.127,2.173,0.250,0.986,0.019
21.653,23.152,0.081,0.425,-1.226,-1.033,0.210,0.244,0.002
47.706,523.840,0.022,0.013,-0.249,-0.392,0.080,0.843,0.362
-99999.000,28.621,0.042,0.127,0.897,0.849,0.114,0.623,0.011
29.168,105.478,0.030,0.160,-0.441,-0.280,0.155,0.541,0.012
83.451,217.893,0.000,0.004,0.398,1.938,0.739,0.933,0.024
0.110,87.075,0.061,0.059,-2.981,-0.079,0.124,-0.372,0.016
120.788,94.640,0.243,0.278,-1.616,-1.488,0.170,-0.143,0.018
-99999.000,121.912,0.163,0.116,2.483,2.203,0.251,-0.688,0.031
0.064,141.858,0.000,0.260,1.074,1.669,0.210,0.557,0.003
